title,genres,actor1,actor2,actor3,director,comb
speech & debate,Comedy,Liam James,Sarah Steele,Austin P. McKenzie,Dan Harris,Liam James Sarah Steele Austin P. McKenzie Dan Harris Comedy
tour de pharmacy,Comedy,Orlando Bloom,Andy Samberg,John Cena,Jake Szymanski,Orlando Bloom Andy Samberg John Cena Jake Szymanski Comedy
dirty dancing,Music,Abigail Breslin,Colt Prattes,Sarah Hyland,Wayne Blair,Abigail Breslin Colt Prattes Sarah Hyland Wayne Blair Music
devil's gate,Sci-Fi,Milo Ventimiglia,Bridget Regan,Amanda Schull,Clay Staub,Milo Ventimiglia Bridget Regan Amanda Schull Clay Staub Sci-Fi
abduction,Fantasy,Karolina Antosik,Amelie Leroy,Tessa McGinn,Molly Smith Maurice Smith,Karolina Antosik Amelie Leroy Tessa McGinn Molly Smith Maurice Smith Fantasy
obit,Documentary,William McDonald,Bruce Weber,Margalit Fox,Vanessa Gould,William McDonald Bruce Weber Margalit Fox Vanessa Gould Documentary
the truth is in the stars,Documentary,William Shatner,Neil deGrasse Tyson,Chris Hadfield,Craig Thompson,William Shatner Neil deGrasse Tyson Chris Hadfield Craig Thompson Documentary
the emoji movie,Comedy,T.J. Miller,James Corden,Anna Faris,Anthony Leondis,T.J. Miller James Corden Anna Faris Anthony Leondis Comedy
bedeviled,Horror,Saxon Sharbino,Bonnie Morgan,Brandon Soo Hoo,Abel Vang Burlee Vang,Saxon Sharbino Bonnie Morgan Brandon Soo Hoo Abel Vang Burlee Vang Horror
the saint,Action,Adam Rayner,Eliza Dushku,Ian Ogilvy,Ernie Barbarash,Adam Rayner Eliza Dushku Ian Ogilvy Ernie Barbarash Action
the hippopotamus,Comedy,Roger Allam,Matthew Modine,Tim McInnerny,John Jencks,Roger Allam Matthew Modine Tim McInnerny John Jencks Comedy
wind river,Action,Jeremy Renner,Elizabeth Olsen,Gil Birmingham,Taylor Sheridan,Jeremy Renner Elizabeth Olsen Gil Birmingham Taylor Sheridan Action
rory scovel tries stand-up for the first time,Comedy,,,,Scott Moran,   Scott Moran Comedy
shot caller,Drama,Nikolaj Coster-Waldau,Jon Bernthal,Lake Bell,Ric Roman Waugh,Nikolaj Coster-Waldau Jon Bernthal Lake Bell Ric Roman Waugh Drama
mike birbiglia: thank god for jokes,Comedy,,,,Mike Birbiglia Seth Barrish,   Mike Birbiglia Seth Barrish Comedy
chris d'elia: man on fire,Comedy,,,,Bill D'Elia,   Bill D'Elia Comedy
s.w.a.t.: under siege,Action,Adrianne Palicki,Michael Jai White,Ty Olsson,Tony Giglio,Adrianne Palicki Michael Jai White Ty Olsson Tony Giglio Action
first round down,Action,,,,Brett M. Butler Jason G. Butler,   Brett M. Butler Jason G. Butler Action
zygote,Horror,,,,Neill Blomkamp,   Neill Blomkamp Horror
wish upon,Fantasy,Joey King,Ryan Phillippe,Sherilyn Fenn,John R. Leonetti,Joey King Ryan Phillippe Sherilyn Fenn John R. Leonetti Fantasy
girls trip,Comedy,Regina Hall,Queen Latifah,Jada Pinkett Smith,Malcolm D. Lee,Regina Hall Queen Latifah Jada Pinkett Smith Malcolm D. Lee Comedy
landline,Comedy,Jenny Slate,Edie Falco,Abby Quinn,Gillian Robespierre,Jenny Slate Edie Falco Abby Quinn Gillian Robespierre Comedy
detroit,Thriller,John Boyega,Will Poulter,Algee Smith,Kathryn Bigelow,John Boyega Will Poulter Algee Smith Kathryn Bigelow Thriller
columbus,Drama,John Cho,Haley Lu Richardson,Parker Posey,Kogonada,John Cho Haley Lu Richardson Parker Posey Kogonada Drama
fittest on earth: a decade of fitness,Documentary,Matt Fraser,Ben Smith,Sara Sigmundsdottir,Heber Cannon Marston Sawyers Ian Wittenber Mariah Moore,Matt Fraser Ben Smith Sara Sigmundsdottir Heber Cannon Marston Sawyers Ian Wittenber Mariah Moore Documentary
zero 3,Thriller,Inga Jankauskaitė,Mindaugas Papinigis,Ramūnas Rudokas,Emilis Velyvis,Inga Jankauskaitė Mindaugas Papinigis Ramūnas Rudokas Emilis Velyvis Thriller
feed,Drama,Troian Bellisario,Tom Felton,Ben Winchell,Tommy Bertelsen,Troian Bellisario Tom Felton Ben Winchell Tommy Bertelsen Drama
the girl from the song,Drama,Lewis Rainer,Joséphine Berry,Charlotte Atkinson,Ibai Abad,Lewis Rainer Joséphine Berry Charlotte Atkinson Ibai Abad Drama
selbstkritik eines bürgerlichen hundes,Comedy,Julian Radlmaier,Deragh Campbell,Beniamin Forthi,Julian Radlmaier,Julian Radlmaier Deragh Campbell Beniamin Forthi Julian Radlmaier Comedy
first kill,Action,Bruce Willis,Hayden Christensen,Gethin Anthony,Steven C. Miller,Bruce Willis Hayden Christensen Gethin Anthony Steven C. Miller Action
la 92,Documentary,Rodney King,Tom Brokaw,George H. W. Bush,T.J. Martin Daniel Lindsay,Rodney King Tom Brokaw George H. W. Bush T.J. Martin Daniel Lindsay Documentary
descendants 2,TV Movie,Dove Cameron,Sofia Carson,Cameron Boyce,Kenny Ortega,Dove Cameron Sofia Carson Cameron Boyce Kenny Ortega TV Movie
ivanka trump- america's real first lady?,Documentary,,,,,    Documentary
chris gethard: career suicide,Comedy,,,,Kimberly Senior,   Kimberly Senior Comedy
lou,Animation,,,,Dave Mullins,   Dave Mullins Animation
american violence,Crime,Kaiwi Lyman,Bruce Dern,Denise Richards,Timothy Woodward Jr.,Kaiwi Lyman Bruce Dern Denise Richards Timothy Woodward Jr. Crime
lego dc super hero girls: brain drain,Animation,Grey Griffin,Tara Strong,Anais Fairweather,Todd Grimes,Grey Griffin Tara Strong Anais Fairweather Todd Grimes Animation
take me,Comedy,Taylor Schilling,Pat Healy,Alycia Delmore,Pat Healy,Taylor Schilling Pat Healy Alycia Delmore Pat Healy Comedy
the incredible jessica james,Romance,Jessica Williams,Chris O'Dowd,Keith Stanfield,Jim Strouse,Jessica Williams Chris O'Dowd Keith Stanfield Jim Strouse Romance
can't buy my love,Romance,Adelaide Kane,Benjamin Hollingsworth,Jean Louisa Kelly,Farhad Mann,Adelaide Kane Benjamin Hollingsworth Jean Louisa Kelly Farhad Mann Romance
cop and a half: new recruit,Crime,Lou Diamond Phillips,Wallace Shawn,Gina Holden,Jonathan A. Rosenbaum,Lou Diamond Phillips Wallace Shawn Gina Holden Jonathan A. Rosenbaum Crime
in a heartbeat,Family,,,,Beth David Esteban Bravo,   Beth David Esteban Bravo Family
